id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
7qw7kzv9dioHte3XY5MVnJ,0.283,0.107,80.007,0.0431,0.658,0.858,4,0.665,7,144000,-13.182,0.144,1
5MAOedbiuGHjjLhpIh8BWg,0.212,0.121,69.072,0.124,0.94,0.782,4,0.721,2,126087,-11.598,0.194,0
2lqELlcM5vOPypzwVwGU9B,0.413,0.0847,149.961,0.0463,0.209,0.747,4,0.809,3,153600,-11.402,0.576,0
1oQt6kTiuPsQEFaHWFH6Pl,0.155,0.113,162.269,0.0852,0.472,0.92,4,0.657,6,156037,-6.702,0.44,1
3uxcX73X3YZlaGVeKzECjE,0.335,0.111,224.536,0.0683,0.602,0.906,1,0.488,8,116800,-8.596,0.256,1
7cO2sDDjsSG6altNBcy8h6,0.213,0.683,79.027,0.0489,0.973,0.909,4,0.726,10,164810,-15.004,0.14,1
06K21lIuMVgM5U8DpJTdOK,0.458,0.156,174.073,0.169,0.284,0.883,4,0.592,1,148966,-8.127,0.215,0
7JaX10rbsmPiwJANAjAouR,0.182,0.111,146.026,0.0585,0.888,0.82,4,0.647,9,115940,-15.709,0.153,1
0exSVgWhrGLASyIcxCZ6ho,0.465,0.131,82.022,0.0532,0.358,0.88,4,0.679,9,132439,-14.883,0.312,0
6JD16eoMFjKNU9OVmSL2eq,0.227,0.101,146.013,0.043,0.887,0.904,4,0.69,11,106533,-15.638,0.519,1
0DUhu1xEepWHTXupbUDgGt,0.403,0.0816,80.029,0.195,0.393,0.155,4,0.779,5,194625,-9.241,0.469,1
1Bl2RqLfN5V3uCTpcWl7Bn,0.471,0.101,85.018,0.0395,0.434,0.912,4,0.736,7,90360,-8.916,0.147,0
11tfbPbvwBnDeiB0coMi4G,0.267,0.0519,74.002,0.115,0.163,0.865,4,0.709,2,111892,-12.498,0.595,0
1x0vuG5frwPlJ9FNwVwBRX,0.284,0.116,86.979,0.0512,0.762,0.905,4,0.6,11,121379,-12.101,0.165,1
